# identity-topology-probe baseline
# revision=fba67270cb4ec9548f54c799804693644d0bc00f
# skipped_cells=0
credential|port|route|status
no-creds|8490|public-get|403
no-creds|8490|gated-get|403
no-creds|8490|mutation|403
no-creds|8490|autonomy-route|403
forged-owner|8490|public-get|403
forged-owner|8490|gated-get|403
forged-owner|8490|mutation|403
forged-owner|8490|autonomy-route|403
forged-non-owner|8490|public-get|403
forged-non-owner|8490|gated-get|403
forged-non-owner|8490|mutation|403
forged-non-owner|8490|autonomy-route|403
machine-token|8490|public-get|403
machine-token|8490|gated-get|403
machine-token|8490|mutation|403
machine-token|8490|autonomy-route|403
no-creds|3003|public-get|200
no-creds|3003|gated-get|200
no-creds|3003|mutation|422
no-creds|3003|autonomy-route|422
forged-owner|3003|public-get|200
forged-owner|3003|gated-get|200
forged-owner|3003|mutation|422
forged-owner|3003|autonomy-route|422
forged-non-owner|3003|public-get|200
forged-non-owner|3003|gated-get|200
forged-non-owner|3003|mutation|422
forged-non-owner|3003|autonomy-route|422
machine-token|3003|public-get|200
machine-token|3003|gated-get|200
machine-token|3003|mutation|422
machine-token|3003|autonomy-route|422
no-creds|8485|public-get|200
no-creds|8485|gated-get|401
no-creds|8485|mutation|401
no-creds|8485|autonomy-route|401
forged-owner|8485|public-get|200
forged-owner|8485|gated-get|401
forged-owner|8485|mutation|401
forged-owner|8485|autonomy-route|401
forged-non-owner|8485|public-get|200
forged-non-owner|8485|gated-get|401
forged-non-owner|8485|mutation|401
forged-non-owner|8485|autonomy-route|401
machine-token|8485|public-get|200
machine-token|8485|gated-get|200
machine-token|8485|mutation|422
machine-token|8485|autonomy-route|403
